inner,answer,object,name
Dirty Pretty Things,2005,Carl Barât,bands
Crimson Jazz Trio,2005,Tim Landers,bands
Happy Mondays,1980,Shaun Ryder,bands
Cro-Mags,1981,Harley Flanagan,bands
Bad Astronaut,2000,Joey Cape,bands
Dodgy,1990,Nigel Clark,bands
Dreadzone,1993,Greg Roberts,bands
Lokomotive Kreuzberg,1972,Manfred Praeker,bands
Dread Zeppelin,1989,Carl Jah,bands
Fat Freddy's Drop,1999,Dallas Tamaira,bands
Psycho Realm,1989,B-Real,bands
The Civil Wars,2009,Joy Williams,bands
Backyard Babies,1987,Nicke Borg,bands
Lamb,1996,Andy Barlow,bands
Babe Ruth,1971,Jeff Allen,bands
Lokomotive Kreuzberg,1972,Herwig Mitteregger,bands
Matmos,1995,Drew Daniel,bands
Babyshambles,2003,Pete Doherty,bands
Dog Fashion Disco,1995,Todd Smith,bands
B2K,1998,Lil' Fizz,bands
Black Uhuru,1972,Michael Rose,bands
Temple of the Absurd,1993,Sabina Classen,bands
Back Door,1971,Colin Hodgkinson,bands
Dr. Sin,1991,Andria Busic,bands
Doctors of Madness,1974,Richard Strange,bands
Bajaga i Instruktori,1984,Momčilo Bajagić Bajaga,bands
Matmos,1995,M.C. Schmidt,bands
Zana,1980,Nataša Živković,bands
Zana,1980,Zoran Živanović,bands
Dr. Feelgood,1971,Lee Brilleaux,bands
Mae,2001,Dave Elkins,bands
Azúcar Moreno,1984,Encarna Salazar,bands
Zana,1980,Zana Nimani,bands
Zana,1980,Jelena Živanović,bands
Dolly,1989,Mickaël Chamberlin,bands
Dopplereffekt,1995,Gerald Donald,bands
Avulsed,1994,Dave Rotten,bands
Azúcar Moreno,1984,Toñi Salazar,bands
AxeWound,2012,Liam Cormier,bands
Zana,1980,Radovan Jovićević,bands
Zana,1980,Nataša Gajović,bands
Gramary,1997,Deil,bands
The Postal Service,2001,Jenny Lewis,bands
Zana,1980,Marina Tucaković,bands
Biohazard,1987,Evan Seinfeld,bands
Alcatrazz,1983,Graham Bonnet,bands
downhere,1999,Marc Martel,bands
Bruce-Baker-Moore,1994,Gary Moore,bands
The Postal Service,2001,Ben Gibbard,bands
Stretch,1974,Kirby Gregory,bands
Pooh,1966,Riccardo Fogli,bands
Whiskeytown,1994,Ryan Adams,bands
Pooh,1966,Dodi Battaglia,bands
Pooh,1966,Mario Goretti,bands
Before the Dawn,1999,Tuomas Saukkonen,bands
Bad English,1987,John Waite,bands
Bad Copy,1996,Ajs Nigrutin,bands
The Postal Service,2001,Dntel,bands
Pooh,1966,Mauro Bertoli,bands
Before the Dawn,1999,Lars Eric Si,bands
Before the Dawn,1999,Juho Räihä,bands
Before the Dawn,1999,Atte Palokangas,bands
Queens of the Stone Age,1996,Mark Lanegan,bands
Brujeria,1989,Dino Cazares,bands
Pooh,1966,Stefano D'Orazio,bands
Pooh,1966,Red Canzian,bands
Badfinger,1969,Pete Ham,bands
BZN,1966,Jan Tuijp,bands
BZN,1966,Thomas Tol,bands
Arthemesia,1994,Jari Mäenpää,bands
Dragonlord,2001,Eric Peterson,bands
Pooh,1966,Gilberto Faggioli,bands
Pooh,1966,Roby Facchinetti,bands
Pooh,1966,Valerio Negrini,bands
Before the Dawn,1999,Dani Miettinen,bands
The Quireboys,1984,Spike,bands
Bachman–Turner Overdrive,1973,Robbie Bachman,bands
Rapülők,1992,Péter Geszti,bands
Arthemesia,1994,Kai Hahto,bands
Double You,1985,William Naraine,bands
Outlawz,1995,Napoleon,bands
Outlawz,1995,Kastro,bands
Lokomotive Kreuzberg,1972,Bernhard Potschka,bands
Mountain,1969,Felix Pappalardi,bands
BZN,1966,Carola Smit,bands
Bad Manners,1976,Buster Bloodvessel,bands
Bad News,1983,Ade Edmondson,bands
Arthemesia,1994,Erna Siikavirta,bands
BZN,1966,Jan Keizer,bands
Outlawz,1995,Young Noble,bands
Outlawz,1995,E.D.I. Mean,bands
Rapülők,1992,Gábor Berkes,bands
Vennaskond,1984,Tõnu Trubetsky,bands
BZN,1966,Cees Tol,bands
Dope Stars Inc.,2003,Alex Vega,bands
BZN,1966,Anny Schilder,bands
Bump of Chicken,1994,Hideo Masu,bands
Bump of Chicken,1994,Yoshifumi Naoi,bands
Canary Club,2007,Ayumi Takada,bands
The Drifters,1953,Rudy Lewis,bands
Canary Club,2007,Yurie Matsui,bands
Canary Club,2007,Reiko Okada,bands
Canary Club,2007,Riho Sugiura,bands
Canary Club,2007,Yuma Uchita,bands
The Drifters,1953,Johnny Terry,bands
Canary Club,2007,Mana Ogawa,bands
Canary Club,2007,Erina Hashiguchi,bands
Canary Club,2007,Ikuko Ōura,bands
Bump of Chicken,1994,Motoo Fujiwara,bands
Bump of Chicken,1994,Hiroaki Masukawa,bands
Prussian Blue,2003,Lamb Lennon Gaede,bands
Prussian Blue,2003,Lynx Vaughan Gaede,bands
Shinedown,2001,Zach Myers,bands
Shinedown,2001,Brent Smith,bands
Shinedown,2001,Brad Stewart,bands
Danity Kane,2005,Dawn Richard,bands
Elastica,1992,Justine Frischmann,bands
Shinedown,2001,Barry Kerch,bands
Queen & Elizabeth,2010,Tomomi Itano,bands
Queen & Elizabeth,2010,Tomomi Kasai,bands
The Drifters,1953,Johnny Moore,bands
The Drifters,1953,Jimmy Lewis,bands
Marlene Kuntz,1989,Cristiano Godano,bands
The Drifters,1953,Ben E. King,bands
Canary Club,2007,Mikiho Niwa,bands
The Drifters,1953,Clyde McPhatter,bands
The Drifters,1953,Louis Price,bands
Canary Club,2007,Chihira Mochida,bands
The Drifters,1953,Bobby Hendricks,bands
The Drifters,1953,Bill Pinkney,bands
Tank,1980,Doogie White,bands
Broken Bells,2009,James Mercer,bands
Original Dixieland Jass Band,1916,Tony Sbarbaro,bands
Windir,1994,Terje Bakken,bands
The Orb,1988,Jimmy Cauty,bands
Original Dixieland Jass Band,1916,Henry Ragas,bands
The Murmurs,1991,Leisha Hailey,bands
Katrina and the Waves,1981,Katrina Leskanich,bands
Shiny Toy Guns,2002,Carah Faye Charnow,bands
Masters of Reality,1981,Chris Goss,bands
F5,2003,David Ellefson,bands
Giant Drag,2003,Annie Hardy,bands
Dimension Zero,1996,Jesper Strömblad,bands
Broilers,1992,Sammy Amara,bands
Thunderstone,2000,Kari Tornack,bands
What Is This,1980,Flea,bands
Satan,1979,Brian Ross (singer),bands
What Is This,1980,Hillel Slovak,bands
What Is This,1980,Jack Irons,bands
Satan,1979,Steve Ramsey,bands
Bronski Beat,1983,Jimmy Somerville,bands
What Is This,1980,Alain Johannes,bands
Deathstars,2000,Andreas Bergh,bands
Bronski Beat,1983,Larry Steinbachek,bands
Whitestarr,2000,Cisco Adler,bands
Thunderstone,2000,Nino Laurenne,bands
Thunderstone,2000,Atte Palokangas,bands
Thunderstone,2000,Jukka Karinen,bands
Thunderstone,2000,Titus Hjelm,bands
Thunderstone,2000,Rick Altzi,bands
Oh Laura,2004,Frida Öhrn,bands
Disarmonia Mundi,2000,Ettore Rigotti,bands
Thunderstone,2000,Pasi Rantanen,bands
The Click Five,2003,Eric Dill,bands
Oblivion Dust,1996,K.A.Z,bands
Tublatanka,1982,Maťo Ďurinda,bands
Porno for Pyros,1992,Perry Farrell,bands
Thunderstone,2000,Mirka Rantanen,bands
Socrates Drank the Conium,1969,Giannis Spathas,bands
Socrates Drank the Conium,1969,Antonis Tourkogiorgis,bands
Roger Miret and The Disasters,1999,Roger Miret,bands
Rata Blanca,1986,Adrián Barilari,bands
The Fugs,1964,Ed Sanders,bands
Van Coke Kartel,2007,Francois Van Coke,bands
The Decemberists,2000,Colin Meloy,bands
Original Dixieland Jass Band,1916,Eddie Edwards,bands
Original Dixieland Jass Band,1916,Nick LaRocca,bands
Tasavallan Presidentti,1969,Jukka Tolonen,bands
Original Dixieland Jass Band,1916,Larry Shields,bands
Sister Sledge,1972,Kathy Sledge,bands
Chatmonchy,2000,Eriko Hashimoto,bands
Chatmonchy,2000,Akiko Fukuoka,bands
L.A.P.D.,1989,James Shaffer,bands
Charming Hostess,1999,Jewlia Eisenberg,bands
Chatmonchy,2000,Kumiko Takahashi,bands
Tetra-Fang,2008,Kōji Seto,bands
Charon,1992,Lauri Tuohimaa,bands
Chevelle,1995,Pete Loeffler,bands
Charlie Brown Jr.,1992,Chorão,bands
Charon,1992,Antti Karihtala,bands
Charon,1992,Jasse Hast,bands
Charon,1992,Juha-Pekka Leppäluoto,bands
Chastain,1984,Leather Leone,bands
Charon,1992,Teemu Hautamäki,bands
Charon,1992,Pasi Sipilä,bands
Showtek,2001,Wouter Janssen,bands
Showtek,2001,Sjoerd Janssen,bands
One Ok Rock,2005,Toru Yamashita,bands
One Ok Rock,2005,Ryota Kohama,bands
One Ok Rock,2005,Takahiro Moriuchi,bands
One Ok Rock,2005,Tomoya Kanki,bands
The Replacements,1979,Paul Westerberg,bands
Charlie,1971,Terry Thomas,bands
Child Rebel Soldier,2007,Kanye West,bands
Frost*,2007,John Jowitt,bands
Insomnium,1997,Ville Friman,bands
Spiritualized,1990,Richard Warren,bands
Insomnium,1997,Markus Hirvonen,bands
Les Colocs,1990,Dédé Fortin,bands
Spiritualized,1990,Will Carruthers,bands
Cursive,1995,Tim Kasher,bands
Spiritualized,1990,Damon Reece,bands
Insomnium,1997,Niilo Sevänen,bands
Insomnium,1997,Markus Vanhala,bands
The Asteroids Galaxy Tour,2006,Mette Lindberg,bands
The Greenhornes,1996,Craig Fox,bands
Spiritualized,1990,Jason Pierce,bands
Spiritualized,1990,Kate Radley,bands
Spiritualized,1990,Thighpaulsandra,bands
Spiritualized,1990,Jon Mattock,bands
Fabulous Disaster,1998,Cinder Block,bands
The Cribs,2002,Johnny Marr,bands
The Zutons,2001,Dave McCabe,bands
Curve,1990,Toni Halliday,bands
Do As Infinity,1999,Tomiko Van,bands
Relient K,1998,Matt Thiessen,bands
Brother Beyond,1985,Eg White,bands
Frost*,2004,John Jowitt,bands
Polkadot Cadaver,2007,Todd Smith,bands
Teeth of Lions Rule the Divine,2001,Lee Dorrian,bands
Ongaku Gatas,2007,Erina Mano,bands
Cute Is What We Aim For,2005,Dave Melillo,bands
W,2004,Ai Kago,bands
The Sound of Animals Fighting,2004,Craig Owens,bands
Westside Connection,1994,Ice Cube,bands
CunninLynguists,2000,Kno,bands
Mr. Bungle,1985,Mike Patton,bands
Insomnium,1997,Jani Liimatainen,bands
Trail of Tears,1994,Ronny Thorsen,bands
Insomnium,1997,Ville Vänni,bands
Mr. Bungle,1985,Dave Lombardo,bands
Mr. Bungle,1985,Trevor Dunn,bands
Spiritualized,1990,Gregg Hale,bands
Mr. Bungle,1985,Trey Spruance,bands
The Birthday Party,1977,Nick Cave,bands
Cubanate,1992,Julian Beeston,bands
Dissection,1989,Jon Nödtveidt,bands
Mr. Bungle,1985,Scott Ian,bands
The Troggs,1964,Reg Presley,bands
Mushroomhead,1993,Jason Popson,bands
Stabbing Westward,1985,Christopher Hall,bands
Wreckx-n-Effect,1988,Teddy Riley,bands
Gentle Giant,1970,Martin Smith,bands
Dropkick Murphys,1996,Ken Casey,bands
Vicious White Kids,1978,Sid Vicious,bands
Los Shakers,1963,Osvaldo Fattoruso,bands
Los Shakers,1963,Hugo Fattoruso,bands
Onyx,1988,Sticky Fingaz,bands
Polaris,1993,Mark Mulcahy,bands
Onyx,1988,Big DS,bands
Ruins,1985,Tatsuya Yoshida,bands
Dropkick Murphys,1996,Marc Orrell,bands
Onyx,1988,Sonny Seeza,bands
Cybotron,1980,Juan Atkins,bands
Halestorm,1998,Lzzy Hale,bands
Onyx,1988,Chyskillz,bands
Buzzcocks,1976,Steve Diggle,bands
Buzzcocks,1976,Danny Farrant,bands
Onyx,1988,Fredro Starr,bands
The Staple Singers,1948,Pops Staples,bands
Mortician,1989,Roger J. Beaujard,bands
Foetus,1981,J. G. Thirlwell,bands
Rocket from the Crypt,1989,John Reis,bands
N.E.R.D,1999,Pharrell Williams,bands
Hate Eternal,1997,Erik Rutan,bands
Matching Mole,1971,Bill MacCormick,bands
Mortician,1989,Will Rahmer,bands
Buzzcocks,1976,Pete Shelley,bands
Ephel Duath,1998,Davide Tiso,bands
N.E.R.D,1999,Chad Hugo,bands
Head Automatica,2004,Daryl Palumbo,bands
Los Carayos,1986,François Hadji-Lazaro,bands
N.E.R.D,1999,Shay Haley,bands
Sixx:A.M.,2007,Nikki Sixx,bands
Demigod,1990,Tuomo Latvala,bands
Tomahawk,1999,John Stanier,bands
Tomahawk,1999,Duane Denison,bands
Tomahawk,1999,Mike Patton,bands
Rooney,1999,Robert Coppola Schwartzman,bands
JAM Project,2000,Ichirō Mizuki,bands
Hermano,1998,John Garcia,bands
Falsalarma,2000,Titó,bands
Tomahawk,1999,Trevor Dunn,bands
Tomahawk,1999,Kevin Rutmanis,bands
D'Sound,1993,Jonny Sjo,bands
Donkeyboy,2005,Cato Sundberg,bands
Dry Cell,1998,Jeff Gutt,bands
Beau Dommage,1974,Marie Michèle Desrosiers,bands
Band of Horses,2004,Ben Bridwell,bands
Battle Beast,2008,Anton Kabanen,bands
Blaqk Audio,2001,Jade Puget,bands
GusGus,1995,Daníel Ágúst Haraldsson,bands
Cloud Cult,1995,Craig Minowa,bands
E.M.D.,2007,Danny Saucedo,bands
E.M.D.,2007,Erik Segerstedt,bands
E.M.D.,2007,Mattias Andréasson,bands
Drudkh,2003,Roman Saenko,bands
"Beck, Bogert & Appice",1972,Jeff Beck,bands
Beats International,1989,Fatboy Slim,bands
Times of Grace,2007,Adam Dutkiewicz,bands
Barrabás,1971,Fernando Arbex,bands
Basic Element,1992,Andrea Myrander,bands
Dru Hill,1992,Woody Rock,bands
Van Gogh,1986,Zvonimir Đukić,bands
Shinedown,2001,Nick Perri,bands
Bay City Rollers,1966,Alan Longmuir,bands
Electro Team,1987,Vanna,bands
Balance of Power,1995,Lionel Hicks,bands
Dune,1995,Oliver Froning,bands
Shinedown,2001,Eric Bass,bands
Shinedown,2001,Jasin Todd,bands
Chervona Ruta,1971,Volodymyr Ivasyuk,bands
Chervona Ruta,1971,Anatoliy Evdokimenko,bands
Return to Forever,1972,Chick Corea,bands
Chervona Ruta,1971,Sofia Rotaru,bands
Battlefield Band,1969,Jamie Mc Menemy,bands
The Dickies,1977,Chuck Wagon,bands
Goldfinger,1994,John Feldmann,bands
EC8OR,1995,Patric Catani,bands
The Faith,1981,Alec MacKaye,bands
Beady Belle,1999,Beate S. Lech,bands
Be Your Own Pet,2002,Jemina Pearl,bands
Les Blérots de R.A.V.E.L.,1996,Arnaud Joyet,bands
The Lords of the New Church,1982,Brian James,bands
Dub War,1993,Benji Webbe,bands
Beauty Queens,2007,Ksenija Milošević,bands
Bedouin Soundclash,2001,Jay Malinowski,bands
Dynamite Deluxe,1997,Samy Deluxe,bands
The Lords of the New Church,1982,Stiv Bators,bands
Renaissance,1969,Annie Haslam,bands
Beau Dommage,1974,Pierre Bertrand,bands
Beau Dommage,1974,Robert Léger,bands
EC8OR,1995,Gina V. D'Orio,bands
Beautiful Creatures,1999,Bang Tango,bands
Battle Beast,2008,Noora Louhimo,bands
Balkan Beat Box,2003,Ori Kaplan,bands
Beat Happening,1982,Calvin Johnson,bands
The Reverend Horton Heat,1985,Paul Simmons,bands
The Reverend Horton Heat,1985,Taz Bentley,bands
Battle Beast,2008,Nitte Valo,bands
Beau Dommage,1974,Michel Rivard,bands
Bark Psychosis,1986,Graham Sutton,bands
Beherit,1989,Marko Laiho,bands
The Reverend Horton Heat,1985,Jimbo Wallace,bands
Blaqk Audio,2001,Davey Havok,bands
D'Sound,1993,Kim Ofstad,bands
MS MR,2011,Lizzy Plapinger,bands
Barbados,1992,Magnus Carlsson,bands
D'Sound,1993,Simone Eriksrud,bands
Noisettes,2003,Jamie Morrison,bands
Celtic Woman,2004,Hayley Westenra,bands
Celtic Woman,2004,Máiréad Carlin,bands
Berlins Most Wanted,2010,Fler,bands
Celtic Woman,2004,Éabha McMahon,bands
Berlins Most Wanted,2010,Kay One,bands
Celtic Woman,2004,Lisa Kelly,bands
Celtic Woman,2004,Chloë Agnew,bands
Celtic Woman,2004,Susan McFadden,bands
Celtic Woman,2004,Órla Fallon,bands
Hot Cross,2000,Billy Werner,bands
Berlins Most Wanted,2010,King Orgasmus One,bands
Mr. Big,1988,Eric Martin,bands
Mr. Big,1988,Billy Sheehan,bands
Gym Class Heroes,1997,Travie McCoy,bands
Mr. Big,1988,Paul Gilbert,bands
Mr. Big,1988,Richie Kotzen,bands
Belly,1991,Tanya Donelly,bands
Belly,1991,Gail Greenwood,bands
Gym Class Heroes,1997,Matt McGinley,bands
Vampire Weekend,2006,Chris Baio,bands
Mr. Big,1988,Pat Torpey,bands
Vampire Weekend,2006,Ezra Koenig,bands
Beogradski Sindikat,1999,Aleksandar Protić,bands
Believer,1986,Kurt Bachman,bands
Beogradski Sindikat,1999,Škabo,bands
Vampire Weekend,2006,Chris Tomson,bands
Born Against,1989,Sam McPheeters,bands
Vampire Weekend,2006,Rostam Batmanglij,bands
Bell X1,1999,Brian Crosby,bands
Celtic Woman,2004,Deirdre Shannon,bands
Celtic Woman,2004,Alexandria Sharpe,bands
Celtic Woman,2004,Lisa Lambe,bands
Celtic Woman,2004,Lynn Hilary,bands
Celtic Woman,2004,Méav Ní Mhaolchatha,bands
Celtic Woman,2004,Máiréad Nesbitt,bands
Berlins Most Wanted,2010,Bass Sultan Hengzt,bands
Berlins Most Wanted,2010,Silla,bands
Berlins Most Wanted,2010,Bushido,bands
The Wilde Flowers,1963,Hugh Hopper,bands
Pinhead Gunpowder,1990,Boli Joe Armstrong,bands
MilkyWay,2008,Koharu Kusumi,bands
Kishidan,1997,Show Ayanocozey,bands
Ketsumeishi,1993,Ryo Tanaka,bands
Ecomoni,2004,Sayumi Michishige,bands
Thug Life,1993,Mopreme Shakur,bands
Thug Life,1993,Stretch,bands
Christian Death,1979,Rozz Williams,bands
"Chocolat, Menta, Mastik",1972,Tami Azaria,bands
Thug Life,1993,Big Syke,bands
Kotipelto,2001,Timo Kotipelto,bands
"Chocolat, Menta, Mastik",1972,Leah Lupatin,bands
Thug Life,1993,Macadoshis,bands
Thug Life,1993,Tupac Shakur,bands
Thug Life,1993,The Rated R,bands
"Chocolat, Menta, Mastik",1972,Yardena Arazi,bands
Chimaira,1998,Mark Hunter,bands
Christie,1969,Jeff Christie,bands
The Pointer Sisters,1969,Ruth Pointer,bands
The Pointer Sisters,1969,Anita Pointer,bands
The Pointer Sisters,1969,Issa Pointer,bands
The Pointer Sisters,1969,Sadako Pointer,bands
Mrs. Einstein,1988,Paulette Willemse,bands
Mrs. Einstein,1988,Melline Mollerus,bands
Mrs. Einstein,1988,Ellen Pieters,bands
Mrs. Einstein,1988,Suzanne Venneker,bands
The Zombies,1961,Chris White,bands
The Zombies,1961,Paul Atkinson,bands
The Zombies,1961,Rod Argent,bands
Seventh Angel,1987,Ian Arkley,bands
The Zombies,1961,Hugh Grundy,bands
The Zombies,1961,Colin Blunstone,bands
Dagö,1998,Peeter Rebane,bands
Daddy Cool,1970,Ross Hannaford,bands
Kylähullut,2004,Alexi Laiho,bands
The Pointer Sisters,1969,Bonnie Pointer,bands
Kylähullut,2004,Tonmi Lillman,bands
Dirty Projectors,2002,Haley Dekle,bands
Dirty Projectors,2002,Angel Deradoorian,bands
Dirty Projectors,2002,Nat Baldwin,bands
D:Ream,1992,Brian Cox,bands
Stray Cats,1980,Brian Setzer,bands
Dirty Projectors,2002,Olga Bell,bands
Kylähullut,2004,Vesa Jokinen,bands
Mansun,1995,Paul Draper,bands
The Pointer Sisters,1969,June Pointer,bands
Thor,1978,Jon Mikl Thor,bands
Damn Yankees,1989,Tommy Shaw,bands
Dirty Projectors,2002,David Longstreth,bands
V6,1995,Hiroshi Nagano,bands
D:Ream,1992,Al Mackenzie,bands
Dirty Projectors,2002,Amber Coffman,bands
Funky Monkey Babys,2004,Funky Kato,bands
Third Eye Blind,1993,Stephan Jenkins,bands
D:Ream,1992,Peter Cunnah,bands
V6,1995,Junichi Okada,bands
V6,1995,Masayuki Sakamoto,bands
Porno Graffitti,1994,Masami Shiratama,bands
UGK,1987,Bun B,bands
V6,1995,Ken Miyake,bands
V6,1995,Yoshihiko Inohara,bands
Television,1973,Richard Lloyd,bands
Tackey & Tsubasa,2002,Tsubasa Imai,bands
The Sounds,1999,Maja Ivarsson,bands
V6,1995,Gō Morita,bands
Crown of Creation,1985,Matthias Blazek,bands
Tackey & Tsubasa,2002,Hideaki Takizawa,bands
Superfly,2007,Shiho Ochi,bands
Third Eye Blind,1993,Tony Fredianelli,bands
Superfly,2007,Kōichi Tabo,bands
X-Ray Spex,1976,Poly Styrene,bands
Kira Pika,2007,Koharu Kusumi,bands
Daddy Cool,1970,Gary Young,bands
Daddy Cool,1970,Ross Wilson,bands
The For Carnation,1994,Brian McMahan,bands
Dagö,1998,Lauri Saatpalu,bands
Torture Killer,2002,Tuomo Latvala,bands
Celtic Woman,2004,Tara McNeill,bands
The Flys,1976,Lyn Dobson,bands
Mad Max,1982,Andreas Baesler,bands
Rytmihäiriö,1988,Unto Helo,bands
The Flys,1976,Pete King,bands
Kyo,1994,Nicolas Chassagne,bands
Strike Anywhere,1999,Thomas Barnett,bands
Hefner,1996,Darren Hayman,bands
Hooverphonic,1995,Alex Callier,bands
Say Anything,2000,Max Bemis,bands
Kyo,1994,Benoît Poher,bands
TV on the Radio,2001,Gerard Smith,bands
Rytmihäiriö,1988,Antti Kiiski,bands
The Stands,2002,Howie Payne,bands
Uma2rman,2003,Sergey Kristovsky,bands
French Kiss,2010,Yuki Kashiwagi,bands
Silent Siren,2011,Sumire Yoshida,bands
Little Feat,1969,Bill Payne,bands
Berri Txarrak,1994,Gorka Urbizu,bands
I Am Kloot,1999,John Bramwell,bands
Goblin,1972,Claudio Simonetti,bands
Bigod 20,1988,Talla 2XLC,bands
MercyMe,1994,Bart Millard,bands
Uma2rman,2003,Vladimir Kristovskij,bands
Café Tacvba,1988,Rubén Albarrán,bands
All About Eve,1984,Julianne Regan,bands
Jonathan Davis and the SFA,2007,Jonathan Davis,bands
Wisdom,2001,Anton Kabanen,bands
Johnny Hates Jazz,1986,Clark Datchler,bands
Café Tacvba,1988,Joselo Rangel,bands
Tom Tom Club,1981,Adrian Belew,bands
Miike Snow,2007,Christian Karlsson,bands
The Dillinger Escape Plan,1997,Ben Weinman,bands
Wisdom,2001,Máté Molnár,bands
Café Tacvba,1988,Enrique Rangel Arroyo,bands
D4L,2003,Fabo,bands
Owls,2001,Tim Kinsella,bands
Carolina Liar,2005,Jim Almgren Gândara,bands
The Crash,1991,Teemu Brunila,bands
Miike Snow,2007,Andrew Wyatt,bands
Café Tacvba,1988,Emmanuel del Real,bands
Ebba Grön,1977,Joakim Thåström,bands
Sun Caged,1999,Dennis Leeflang,bands
Partibrejkers,1982,Zoran Kostić,bands
Eidolon,1993,Shawn Drover,bands
Kassav',1979,Patrick Saint-Éloi,bands
Kassav',1979,Georges Décimus,bands
Scratch Acid,1982,David Yow,bands
The Sword,2003,J. D. Cronise,bands
Kassav',1979,Jacob Desvarieux,bands
Kassav',1979,Jean-Philippe Marthély,bands
Triptykon,2008,Thomas Gabriel Fischer,bands
Kassav',1979,Jean-Claude Naimro,bands
Los Olimareños,1962,Braulio López,bands
One-T,2001,Eddy Gronfier,bands
Edge of Sanity,1989,Dan Swanö,bands
Mango Groove,1984,Claire Johnston,bands
Kassav',1979,Jocelyne Béroard,bands
The B-52's,1976,Keith Strickland,bands
Alexisonfire,2001,George Pettit,bands
Torture Killer,2002,Chris Barnes,bands
Planet X,2000,Derek Sherinian,bands
The Rascals,2007,Miles Kane,bands
Rome,2005,Jérôme Reuter,bands
The B-52's,1976,Kate Pierson,bands
Modern Jazz Quartet,1952,Milt Jackson,bands
The Dead,2003,Bob Weir,bands
Honeymoon Suite,1981,Johnnie Dee,bands
The B-52's,1976,Cindy Wilson,bands
The Newbeats,1964,Larry Henley,bands
Old and in the Way,1973,Jerry Garcia,bands
Earth,1989,Dylan Carlson,bands
Zvuki Mu,1981,Pyotr Mamonov,bands
Los Olimareños,1962,José Luis Guerra,bands
Spitfire,1993,Dmitriy Kezhvatov,bands
Spitfire,1993,Andrey Koeraev,bands
Subsignal,2008,Arno Menses,bands
Spitfire,1993,Vladislav Aleksandrov,bands
Spitfire,1993,Grigoriy Zontov,bands
The B-52's,1976,Fred Schneider,bands
Almafuerte,1995,Ricardo Iorio,bands
The B-52's,1976,Ricky Wilson,bands
Rytmihäiriö,1988,Janne Perttilä,bands
Rytmihäiriö,1988,Otto Luotonen,bands
Busted,2000,Matt Willis,bands
Rytmihäiriö,1988,Pate Vuorio,bands
Busted,2000,Charlie Simpson,bands
Stream of Passion,2005,Arjen Anthony Lucassen,bands
MC5,1964,Wayne Kramer,bands
Busted,2000,James Bourne,bands
Spitfire,1993,Roman Parygin,bands
The Flys,1976,David Freeman,bands
Kyo,1994,Fabien Dubos,bands
Rytmihäiriö,1988,Jukka Kröger,bands
The Flys,1976,Joseph Hughes,bands
Eighth Wonder,1983,Patsy Kensit,bands
The Electric Hellfire Club,1991,Thomas Thorn,bands
Kyo,1994,Florian Dubos,bands
The Flys,1976,Graham Deakin,bands
Ednaswap,1993,Anne Preven,bands
Heavenly,1989,Amelia Fletcher,bands
Youth Group,1996,Toby Martin,bands
Tokyo Jihen,2004,Ringo Sheena,bands
Os Mutantes,1966,Sérgio Dias,bands
Horcas,1988,Walter Meza,bands
Tindersticks,1991,Stuart A. Staples,bands
ZYX,2003,Mari Yaguchi,bands
Morning Musume Tanjō 10nen Kinentai,2007,Kaori Iida,bands
Os Mutantes,1966,Rita Lee,bands
Os Mutantes,1966,Zélia Duncan,bands
Tokio,1994,Taichi Kokubun,bands
Electric Wizard,1993,Jus Oborn,bands
Electrocute,2002,Nicole Morier,bands
Tokio,1994,Masahiro Matsuoka,bands
Soothsayer,1985,Simon Genest,bands
Heavy Stereo,1993,Gem Archer,bands
Os Mutantes,1966,Arnaldo Baptista,bands
The Moog,2004,Tamás Szabó,bands
Soothsayer,1985,Martin Cyr,bands
Tokio,1994,Tomoya Nagase,bands
Soothsayer,1985,Daniel Clavet,bands
Electric President,2003,Ben Cooper,bands
Soothsayer,1985,Stephan Whitton,bands
Mokoma,1996,Tuomo Saikkonen,bands
Tokio,1994,Shigeru Joshima,bands
Mokoma,1996,Kuisma Aalto,bands
Mokoma,1996,Janne Hynynen,bands
GAM,2006,Aya Matsuura,bands
Mokoma,1996,Santtu Hämäläinen,bands
Either/Orchestra,1985,John Medeski,bands
Martha and the Vandellas,1962,Martha Reeves,bands
Snot,1995,Lynn Strait,bands
Nebula,1997,Eddie Glass,bands
Mokoma,1996,Marko Annala,bands
Mokoma,1996,Janne Hyrkäs,bands
Shalamar,1975,Jeffrey Daniel,bands
Dragon Ash,1996,Ikuzo Baba,bands
Só Pra Contrariar,1989,Alexandre Pires,bands
The Mighty Mighty Bosstones,1983,Joe Sirois,bands
The Mighty Mighty Bosstones,1983,Chris Rhodes,bands
The Mighty Mighty Bosstones,1983,Joe Gittleman,bands
The Mighty Mighty Bosstones,1983,Dicky Barrett,bands
Giant,1987,Dann Huff,bands
FireHouse,1989,Perry Richardson,bands
The Mighty Mighty Bosstones,1983,Tim Burton,bands
Enemy of the Sun,2006,Waldemar Sorychta,bands
Hadag Nahash,1996,Sha'anan Streett,bands
Nick Jonas & the Administration,2009,David Ryan Harris,bands
Savatage,1978,Jon Oliva,bands
The Birthday Massacre,1999,Falcore,bands
Bestial Warlust,1993,K.K. Warslut,bands
The Birthday Massacre,1999,Rhim,bands
Qango,1999,John Wetton,bands
Hadag Nahash,1996,Yaya Cohen Harounoff,bands
Dave Matthews Band,1991,Dave Matthews,bands
