answer,dist1,dist2,conj_term1,conj_term2
sound,noise,attack,crunch,crump
sound,event,change,crunch,crack
sound,happening,process,crunch,music
sound,event,property,crunch,noisiness
sound,condition,artifact,crunch,rattle
sound,happening,act,crunch,blast
sound,state,animal,crunch,tick
sound,noise,activity,crunch,buzz
sound,noise,control,crunch,squelch
sound,noise,substance,crunch,trump
wave,sound,worker,ripple,comber
wave,travel,act,billow,swell
wave,increase,travel,swell,swash
furniture,room,solid,triclinium,squab
furniture,room,transfer,triclinium,stool
furniture,room,table,triclinium,desk
furniture,room,device,triclinium,lamp
furniture,chair,council,chaise longue,divan
furniture,chair,table,chaise longue,snack bar
furniture,chair,transfer,chaise longue,stool
furniture,chair,shop,cathedra,commissary
furniture,chair,table,cathedra,workbench
furniture,chair,act,cathedra,stool
furniture,chair,board,cathedra,cabinet
contract,liquid,communication,ink,autograph
contract,change,letter,ink,initial
contract,change,writing,ink,charter
contract,liquid,group,ink,franchise
contract,substance,property,ink,lease
contract,state,document,stipulate,charter
contract,state,message,stipulate,franchise
contract,state,communication,stipulate,concession
contract,state,communication,stipulate,lease
contract,payment,name,rent,autograph
contract,state,communication,rent,charter
solution,substance,statement,formalin,denouement
solution,happening,mixture,denouement,injection
solution,statement,substance,denouement,austenite
solution,statement,substance,denouement,toner
solution,message,substance,denouement,collodion
solution,happening,substance,denouement,polyelectrolyte
solution,happening,substance,denouement,martensite
solution,communication,mixture,denouement,eluate
solution,communication,substance,denouement,electrolyte
solution,statement,action,denouement,dilution
solution,communication,substance,denouement,pancreatin
actor,device,event,energizer,mime
actor,artifact,activity,energizer,heavy
actor,artifact,team,energizer,powerhouse
actor,device,representation,energizer,idol
actor,activity,group,mime,powerhouse
actor,event,team,heavy,powerhouse
actor,activity,object,heavy,starlet
actor,team,object,powerhouse,starlet
actor,organization,representation,powerhouse,idol
traveler,athlete,container,swimmer,carrier
traveler,athlete,artifact,swimmer,pivot
traveler,athlete,criminal,swimmer,pusher
traveler,athlete,happening,swimmer,transient
traveler,artifact,signal,carrier,descender
traveler,object,worker,carrier,stalker
traveler,object,athlete,carrier,rusher
traveler,object,happening,carrier,transient
traveler,container,symbol,carrier,ascender
traveler,container,music,carrier,rider
traveler,trade,worker,import,puller
quantity,ratio,degree,abundance,excess
quantity,condition,happening,wealth,amplitude
follower,advocate,disciple,aficionado,animist
follower,advocate,disciple,aficionado,antinomian
follower,disciple,object,dualist,leech
follower,disciple,act,absolutist,satellite
follower,disciple,organism,animist,leech
follower,disciple,artifact,animist,satellite
follower,traveler,disciple,pursuer,antinomian
follower,traveler,object,pursuer,satellite
follower,disciple,animal,antinomian,leech
follower,disciple,object,antinomian,satellite
distance,ratio,object,mileage,proximity
distance,ratio,property,mileage,altitude
distance,ratio,artifact,mileage,ceiling
distance,object,property,proximity,altitude
distance,area,surface,proximity,ceiling
distance,property,artifact,altitude,ceiling
science,medicine,force,geriatrics,magnetism
science,medicine,property,geriatrics,physiology
science,medicine,treatment,geriatrics,reflexology
science,medicine,act,geriatrics,bioremediation
science,medicine,force,geriatrics,electromagnetism
science,medicine,process,geriatrics,structuralism
science,medicine,statement,geriatrics,meteorology
science,medicine,shape,geriatrics,topography
science,medicine,representation,geriatrics,cosmography
science,medicine,situation,geriatrics,ecology
science,medicine,communication,geriatrics,etymology
beverage,alcohol,organism,rickey,coffee
beverage,alcohol,substance,rickey,nectar
beverage,alcohol,object,kava,cooler
beverage,alcohol,organism,kava,sarsaparilla
beverage,alcohol,person,kava,smoothie
beverage,change,salt,brew,phosphate
beverage,alcohol,tree,brew,coffee
beverage,change,object,brew,screwdriver
beverage,alcohol,meal,brew,tea
beverage,change,wine,brew,retsina
beverage,change,wine,brew,sherry
drug,medicine,object,hexachlorophene,cannabis
drug,medicine,plant,hexachlorophene,tobacco
drug,medicine,change,hexachlorophene,dope
drug,medicine,material,hexachlorophene,chloroform
drug,medicine,substance,hexachlorophene,acid
drug,medicine,person,hexachlorophene,narcoleptic
drug,medicine,object,hexachlorophene,shag
drug,medicine,substance,hexachlorophene,soup
drug,medicine,molecule,hexachlorophene,infliximab
drug,medicine,shrub,carminative,cannabis
drug,medicine,herb,carminative,tobacco
name,part,state,appellation,proclaim
name,part,information,appellation,list
name,part,process,appellation,dub
name,state,part,proclaim,signature
name,state,part,proclaim,pseudonym
name,state,word,proclaim,term
name,state,message,proclaim,list
name,state,part,proclaim,praenomen
name,state,part,proclaim,masthead
name,state,part,proclaim,patronymic
name,state,process,proclaim,dub
weapon,gun,person,arquebus,slasher
weapon,gun,change,arquebus,bayonet
weapon,gun,event,arquebus,quarrel
weapon,knife,person,machete,seeker
weapon,signal,cut,dagger,tomahawk
weapon,communication,event,dagger,javelin
weapon,symbol,gun,dagger,musket
weapon,knife,gun,dagger,automatic rifle
weapon,symbol,act,dagger,quarrel
weapon,knife,gun,dagger,cannon
weapon,cut,gun,tomahawk,automatic pistol
measurement,action,decoration,angulation,shading
instrument,weapon,event,arquebus,douche
instrument,weapon,tool,arquebus,trepan
instrument,weapon,award,arquebus,graduate
instrument,gun,knife,antiaircraft,dagger
instrument,gun,act,antiaircraft,cautery
instrument,weapon,change,antiaircraft,telescope
instrument,weapon,act,antiaircraft,meter
instrument,gun,tool,antiaircraft,knife
instrument,weapon,spread,antiaircraft,syringe
instrument,knife,gun,kris,gat
instrument,knife,tool,kris,trepan
land,travel,object,alight,beach
land,travel,object,alight,polder
land,travel,object,alight,slough
land,travel,object,alight,mire
land,travel,object,alight,divot
land,travel,object,alight,permafrost
land,travel,object,alight,marsh
land,travel,object,alight,swamp
land,travel,object,alight,turf
land,travel,property,alight,homestead
land,travel,property,alight,farmstead
barrier,road,play,turnpike,backstop
barrier,person,play,fence,backstop
layer,region,event,epidermis,backing
layer,region,change,epidermis,cushion
layer,region,change,stratum,cushion
layer,region,change,stratum,ply
layer,region,activity,lithosphere,backing
layer,region,support,horst,backing
layer,region,change,horst,ply
layer,region,activity,mesosphere,backing
layer,region,artifact,mesosphere,cushion
layer,region,end,mesosphere,ply
layer,region,artifact,exosphere,ply
wind,weather,shape,levanter,spiral
wind,weather,object,levanter,snake
wind,shape,weather,spiral,fohn
wind,shape,food,spiral,puff
wind,shape,weather,spiral,simoom
wind,shape,weather,spiral,khamsin
wind,shape,weather,spiral,harmattan
wind,shape,person,spiral,snake
wind,shape,weather,spiral,bise
wind,shape,weather,spiral,mistral
wind,shape,weather,spiral,gust
animal,food,score,haddock,eagle
animal,solid,bee,haddock,andrena
animal,fish,bird,haddock,guan
animal,fish,insect,haddock,scarab
animal,fish,mammal,haddock,wapiti
animal,fish,mammal,haddock,red deer
animal,fish,parrot,haddock,parakeet
animal,food,mammal,haddock,bongo
animal,fish,bird,haddock,hoopoe
animal,fish,mammal,haddock,impala
animal,fish,mammal,haddock,ocelot
attack,sound,activity,crump,raid
attack,sound,act,crump,penetration
attack,sound,event,crump,strafe
attack,sound,event,crump,infiltration
attack,sound,act,crump,crossfire
attack,sound,season,crump,pepper
attack,sound,compound,crump,vitriol
attack,sound,activity,crump,fusillade
attack,sound,increase,crump,blister
attack,sound,note,crump,vilify
attack,sound,event,crump,stroke
solid,food,crystal,caviar,lapis lazuli
solid,food,change,caviar,powder
solid,food,crystal,caviar,frost
solid,food,crystal,caviar,jade
solid,food,crystal,caviar,cabochon
solid,food,crystal,caviar,gem
solid,food,group,caviar,vinyl
solid,food,property,caviar,coral
solid,food,glass,caviar,tektite
solid,food,crystal,caviar,snowflake
solid,food,change,caviar,precipitate
function,happening,shape,convergence,secant
function,event,rate,convergence,isometry
function,happening,act,convergence,expansion
function,event,shape,convergence,tangent
function,action,shape,rotation,secant
function,act,rate,rotation,isometry
function,action,change,rotation,transformation
function,act,shape,rotation,tangent
function,activity,shape,service,secant
function,change,rate,service,isometry
function,change,shape,service,tangent
leader,administrator,clergyman,chief financial officer,cleric
leader,administrator,adult,chief financial officer,matriarch
leader,administrator,clergyman,chief financial officer,archpriest
leader,administrator,clergyman,chief financial officer,preacher
leader,administrator,politician,chief financial officer,pinko
leader,administrator,clergyman,chief financial officer,exarch
leader,administrator,politician,chief financial officer,campaigner
leader,administrator,clergyman,chief financial officer,acolyte
leader,administrator,clergyman,chief financial officer,archbishop
leader,administrator,shape,chief financial officer,hoodoo
leader,administrator,clergyman,chief financial officer,televangelist
specialist,adult,expert,obstetrician,optometrist
specialist,doctor,expert,obstetrician,graphic designer
specialist,expert,professional,canonist,cardiologist
specialist,expert,doctor,canonist,chiropodist
specialist,expert,adult,canonist,gynecologist
specialist,expert,doctor,canonist,diagnostician
specialist,expert,professional,canonist,endocrinologist
specialist,expert,adult,canonist,ophthalmologist
specialist,expert,professional,canonist,rheumatologist
specialist,expert,professional,canonist,anesthesiologist
specialist,expert,adult,canonist,embryologist
capital,structure,stock,chantry,float
capital,travel,artifact,float,stock
series,person,symbol,suppressor,cordon
series,organization,travel,hierarchy,parade
series,organization,process,hierarchy,cordon
series,organization,travel,hierarchy,stream
series,property,travel,sequence,parade
series,rate,science,sequence,taxonomy
series,rate,run,sequence,streak
series,property,travel,sequence,cascade
series,rate,collection,sequence,combination
series,information,collection,rash,combination
series,travel,science,parade,taxonomy
paper,organism,shape,papyrus,sheet
paper,plant,transfer,papyrus,page
paper,organism,communication,papyrus,card
paper,shape,work,sheet,page
paper,leaf,card,centerfold,trey
paper,object,communication,leaf,worksheet
paper,card,object,trey,linen
paper,leaf,communication,recto,worksheet
paper,leaf,tool,recto,spade
paper,score,work,ace,page
paper,object,order,spade,page
leaf,object,substance,pinna,centerfold
leaf,object,substance,pinna,foldout
leaf,object,material,pinna,recto
leaf,object,paper,pinna,verso
leaf,object,material,pinna,page
leaf,object,paper,greenery,centerfold
leaf,object,material,greenery,foldout
leaf,object,material,greenery,recto
leaf,object,material,greenery,verso
leaf,object,transfer,greenery,page
leaf,object,material,sporophyll,centerfold
collection,group,product,embolus,omnibus
collection,group,object,embolus,anthology
collection,group,artifact,embolus,florilegium
collection,group,activity,embolus,compilation
collection,group,product,embolus,archives
collection,class,growth,genitive,vegetation
collection,class,path,genitive,flagging
collection,class,fuel,genitive,backlog
collection,class,object,genitive,core
collection,class,product,genitive,omnibus
collection,class,object,genitive,anthology
improvement,action,happening,swabbing,conservation
improvement,act,group,swabbing,revival
improvement,action,happening,swabbing,habituation
improvement,action,happening,swabbing,recovery
improvement,action,change,swabbing,readjustment
improvement,act,happening,swabbing,resurrection
improvement,action,happening,forwarding,recovery
improvement,action,change,forwarding,readjustment
improvement,act,gathering,rebuilding,revival
improvement,act,happening,rebuilding,habituation
improvement,action,change,rebuilding,recovery
section,passage,event,excerpt,anticlimax
section,happening,passage,episode,analects
section,happening,writing,episode,epigraph
section,happening,passage,episode,text
section,passage,state,clipping,preamble
section,state,event,preamble,peroration
section,state,passage,preamble,cut
section,change,act,anticlimax,peroration
section,happening,passage,anticlimax,epigraph
section,act,traveler,peroration,rider
section,happening,traveler,flashback,rider
crystal,property,object,coral,ice
payment,act,gift,expending,gratuity
payment,act,group,expending,royalty
payment,event,currency,expending,cash
payment,event,insurance,expending,tontine
payment,event,vine,expending,tare
payment,event,information,expending,bonus
payment,event,award,expending,pension
payment,event,cut,expending,rebate
payment,event,chemical,expending,soap
payment,act,change,expending,benefit
payment,act,state,expending,rent
facility,organization,station,athenaeum,radio beacon
facility,group,tower,forum,silo
facility,court,station,chancery,garrison
facility,court,station,chancery,terminal
facility,group,region,chancery,railhead
facility,group,station,chancery,radio beacon
facility,station,road,garrison,speedway
facility,station,group,garrison,menagerie
facility,station,road,terminal,speedway
facility,station,collection,terminal,menagerie
facility,station,structure,terminal,headquarters
player,worker,device,stringer,slicer
player,worker,athlete,stringer,bowler
player,worker,iron,stringer,putter
player,object,athlete,slicer,bowler
player,machine,work,slicer,putter
player,athlete,artifact,bowler,putter
administrator,worker,body,registrar,executive
administrator,worker,member,registrar,director
surface,artifact,region,flying bridge,celestial sphere
surface,platform,travel,flying bridge,bubble up
surface,platform,region,flying bridge,sole
surface,platform,region,flying bridge,front
surface,artifact,change,flying bridge,rear
surface,platform,device,flying bridge,dial
surface,artifact,region,flying bridge,pate
surface,platform,structure,flying bridge,sidewall
surface,artifact,direction,flying bridge,windward
surface,platform,region,flying bridge,rearward
surface,platform,region,flying bridge,bilges
mammal,region,primate,mare,colobus
mammal,horse,substance,mare,muskrat
mammal,region,color,mare,dun
mammal,horse,primate,mare,potto
mammal,region,machine,mare,workhorse
mammal,horse,dog,mare,wolfhound
mammal,region,dog,mare,poodle
mammal,region,person,mare,watchdog
mammal,region,primate,mare,homo
mammal,horse,person,mare,bear
mammal,region,artifact,mare,horse
pathology,tissue,illness,adhesion,canker
flower,orchid,color,pogonia,carnation
flower,plant,person,pogonia,rosebud
flower,plant,increase,silene,bud
flower,organism,increase,lychnis,bud
flower,plant,woman,everlasting,rosebud
flower,plant,increase,everlasting,bud
flower,organism,change,peony,bud
flower,organism,change,golden glow,bud
flower,orchid,color,cattleya,carnation
flower,organism,adult,cattleya,rosebud
flower,organism,person,candytuft,rosebud
bag,travel,shape,backpack,pouch
room,structure,organization,barrelhouse,orchestra
room,artifact,event,barrelhouse,seating
room,object,gathering,barrelhouse,grandstand
room,artifact,act,barrelhouse,parking
room,artifact,group,triclinium,orchestra
room,furniture,covering,triclinium,boot
room,furniture,house,triclinium,cabin
room,object,act,triclinium,seating
room,structure,gathering,triclinium,grandstand
room,furniture,collection,triclinium,library
room,furniture,act,triclinium,parking
clothing,work,jacket,ironing,parka
clothing,work,hat,ironing,fedora
clothing,activity,coat,ironing,surtout
clothing,activity,hat,ironing,boater
clothing,garment,hat,ironing,porkpie
clothing,act,fabric,ironing,camlet
clothing,act,change,ironing,coat
clothing,work,part,ironing,accessory
clothing,event,organism,ironing,capuchin
clothing,work,coat,ironing,banyan
clothing,act,dress,ironing,frock
hat,container,change,pillbox,bonnet
list,food,object,menu,catalog
list,part,group,masthead,queue
list,act,object,docket,catalog
list,writing,work,codex,catalog
tool,change,food,pestle,screwdriver
tool,change,covering,pestle,bur
tool,change,person,pestle,pruner
tool,change,primate,pestle,drill
tool,change,knife,pestle,switchblade
tool,change,cut,pestle,saw
tool,knife,organism,barong,drill
tool,knife,surface,barong,bevel
tool,knife,device,barong,hammer
tool,knife,change,barong,die
tool,change,knife,dibble,lancet
number,object,concept,eagle,one
number,animal,property,eagle,fewness
number,bird,quality,eagle,preponderance
number,organism,communication,eagle,roundness
number,bird,group,eagle,moiety
number,organism,change,eagle,zero
number,animal,ratio,eagle,quotient
number,animal,collection,eagle,singleton
number,object,atom,eagle,monad
number,bird,rate,eagle,linage
number,animal,concept,eagle,constant
business,message,person,franchise,processor
business,relationship,person,partnership,manufacturer
business,adult,maker,publisher,manufacturer
business,professional,artifact,publisher,newspaper
business,worker,tube,processor,airline
rank,part,change,baronetcy,grade
pain,information,condition,tenderness,discomfort
pain,trait,quality,tenderness,unpleasantness
pain,trait,state,tenderness,anguish
pain,trait,change,tenderness,torture
pain,information,state,tenderness,distress
pain,trait,feeling,tenderness,throes
pain,trait,state,tenderness,throe
pain,feeling,information,discomfort,earache
pain,state,information,discomfort,neuralgia
pain,condition,information,discomfort,stomachache
pain,feeling,information,discomfort,sting
team,university,actor,varsity,powerhouse
gathering,party,village,sociable,moshav
gathering,party,object,sociable,town
gathering,party,act,sociable,colloquium
gathering,party,legislature,sociable,parliament
gathering,party,legislature,sociable,senate
gathering,party,court,sociable,chancery
gathering,party,facility,sociable,forum
gathering,party,meeting,sociable,seance
gathering,party,meeting,sociable,synod
gathering,party,event,sociable,convocation
gathering,party,transfer,sociable,muster
bird,organism,food,barbet,poultry
bird,animal,meat,barbet,wildfowl
bird,organism,artifact,barbet,squab
bird,object,food,barbet,fryer
bird,object,meat,barbet,partridge
bird,number,food,eagle,poultry
bird,score,duck,eagle,mallard
bird,number,fabric,eagle,bunting
bird,object,food,eagle,wildfowl
bird,score,artifact,eagle,squab
bird,score,duck,eagle,pintail
nerve,muscle,act,depressor,facial
platform,device,structure,pier,landing
covering,artifact,hair,rya,eyelash
covering,artifact,layer,rya,crust
covering,artifact,change,rya,pod
covering,artifact,hair,rya,chignon
covering,artifact,hair,rya,bouffant
covering,artifact,hair,rya,pigtail
covering,artifact,shape,rya,hull
covering,artifact,hair,rya,ponytail
covering,artifact,hair,rya,stubble
covering,artifact,person,rya,hood
covering,artifact,hair,rya,goatee
book,work,communication,baedeker,diary
book,work,communication,glossary,novel
book,work,communication,almanac,diary
book,organism,communication,annual,directory
book,work,communication,thesaurus,novel
book,list,writing,directory,diary
book,work,writing,instruction manual,novel
building,gathering,house,conventicle,manse
building,meeting,plant,conventicle,packinghouse
building,meeting,shelter,conventicle,kennel
building,gathering,house,conventicle,residence
building,group,shelter,conventicle,house
building,house,group,chateau,conservatory
building,house,room,chateau,dormitory
building,organization,shelter,palace,kennel
building,group,machine,palace,automat
building,organization,device,palace,planetarium
building,organization,activity,palace,casino
artist,musician,artifact,virtuoso,classic
artist,worker,musician,engraver,arranger
artist,worker,musician,engraver,songwriter
artist,worker,musician,engraver,choirmaster
artist,worker,musician,engraver,symphonist
artist,worker,musician,engraver,conductor
artist,worker,musician,engraver,composer
artist,musician,artifact,psalmist,sketcher
artist,musician,scholar,psalmist,classicist
artist,musician,worker,psalmist,draftsman
artist,musician,object,arranger,sketcher
point,workplace,concept,ranch,intersection
point,workplace,concept,ranch,vertex
point,workplace,concept,ranch,attractor
point,work,clothing,ranch,laundry
point,work,event,ranch,roundhouse
point,workplace,structure,ranch,abutment
point,work,concept,ranch,intercept
point,work,person,ranch,lookout
point,work,act,ranch,post
point,workplace,group,ranch,core
point,workplace,happening,ranch,landmark
transfer,event,communication,action,clamor
transfer,state,table,action,bar
transfer,event,communication,action,message
transfer,event,order,action,convoke
transfer,state,artifact,action,bait
transfer,state,people,action,lobby
transfer,event,order,action,requisition
transfer,state,order,action,embargo
transfer,state,material,action,page
transfer,state,support,action,second
transfer,state,order,action,overwhelm
plate,process,device,chrome,diffuser
plate,change,object,chrome,tin
plate,change,object,chrome,gravure
plate,change,object,chrome,centerboard
plate,process,artifact,chrome,escutcheon
plate,change,object,chrome,etching
plate,process,artifact,chrome,damper
plate,change,artifact,chrome,halftone
plate,coat,artifact,chrome,woodcut
plate,substance,art,chrome,engraving
plate,process,artifact,chrome,baffle
energy,light,degree,scintillation,athleticism
energy,light,rate,scintillation,infrared
energy,light,event,scintillation,radiation
energy,light,change,scintillation,interrupt
energy,light,change,scintillation,heat
energy,light,artifact,scintillation,microwave
energy,light,degree,fluorescence,athleticism
energy,light,rate,fluorescence,infrared
energy,light,event,fluorescence,radiation
energy,light,act,fluorescence,interrupt
energy,light,change,fluorescence,heat
chemical,compound,part,guanine,fraction
chemical,compound,herb,guanine,pyrethrum
chemical,salt,acid,permanganate,cyanamide
chemical,compound,part,permanganate,fraction
chemical,compound,plant,permanganate,pyrethrum
chemical,compound,person,permanganate,restrainer
chemical,salt,tree,permanganate,quassia
chemical,salt,oxide,permanganate,flintstone
chemical,salt,molecule,permanganate,starch
chemical,salt,food,permanganate,spice
chemical,salt,object,bicarbonate of soda,fixative
worker,employee,representation,fellah,mannequin
worker,employee,attendant,fellah,armiger
worker,employee,travel,fellah,squire
worker,employee,attendant,fellah,batman
worker,employee,soldier,fellah,legionnaire
worker,employee,soldier,fellah,poilu
worker,employee,artist,fellah,draftsman
worker,employee,official,fellah,vestryman
worker,employee,substance,fellah,scab
worker,employee,official,fellah,licenser
worker,employee,official,fellah,nuncio
art,action,object,gastronomy,grotesque
art,activity,area,gastronomy,seascape
art,event,object,gastronomy,intaglio
art,action,object,gastronomy,overprint
art,activity,representation,gastronomy,miniature
art,event,painting,gastronomy,pentimento
art,activity,object,gastronomy,pastiche
art,activity,object,gastronomy,pointillism
art,event,object,gastronomy,cameo
art,event,object,gastronomy,silkscreen
art,activity,painting,gastronomy,nude
verb,word,collection,copula,infinitive
verb,group,word,infinitive,frequentative
criminal,action,expert,parricide,gunman
criminal,killing,traveler,parricide,pusher
criminal,act,professional,parricide,probationer
criminal,event,vessel,parricide,corsair
criminal,event,mammal,parricide,coyote
criminal,killing,group,parricide,yakuza
criminal,thief,killing,plunderer,infanticide
criminal,thief,animal,plunderer,coyote
criminal,thief,group,plunderer,yakuza
criminal,act,covering,matricide,hood
criminal,event,professional,matricide,probationer
system,artifact,group,reticle,revisionism
system,artifact,group,reticle,mercantilism
system,object,group,reticle,socialism
system,artifact,group,reticle,segregation
system,artifact,group,reticle,feudalism
system,artifact,group,reticle,judiciary
system,object,group,reticle,shebang
system,object,group,reticle,matriarchy
system,object,group,reticle,reticulum
system,object,group,reticle,dragnet
system,artifact,group,reticle,industrialism
season,event,spread,haying,salt
season,event,plant,haying,pepper
season,act,food,haying,ginger
season,activity,wind,haying,monsoon
season,act,object,haying,spring
season,act,food,haying,curry
season,act,travel,haying,fall
season,food,object,salt,pepper
season,material,herb,salt,ginger
season,compound,act,salt,sauce
season,spread,weather,salt,monsoon
gas,medicine,change,inhalant,exhaust
gas,drug,region,inhalant,air
industry,event,group,brewing,aviation
industry,event,collection,gardening,aviation
industry,act,collection,plowing,aviation
industry,event,group,overproduction,aviation
industry,act,group,farming,aviation
industry,activity,organism,farming,crop
industry,act,collection,boring,aviation
industry,act,collection,hydroponics,aviation
industry,act,group,tilling,aviation
industry,act,group,viticulture,aviation
industry,event,group,fruitage,aviation
process,signal,covering,symbol,skim
process,signal,activity,symbol,consumerism
process,communication,act,symbol,discrimination
process,signal,change,symbol,carboxylate
process,communication,quality,symbol,virtu
process,signal,object,symbol,heraldry
process,communication,act,symbol,analogy
process,signal,coat,symbol,chrome
process,signal,flag,symbol,oriflamme
process,communication,quality,symbol,attentiveness
process,communication,event,symbol,differentiation
score,organism,artifact,eagle,crisscross
score,bird,writer,eagle,scribe
score,number,cut,eagle,scarify
score,organism,cut,eagle,scotch
score,bird,event,eagle,homer
score,animal,card,eagle,ace
score,decoration,number,crisscross,par
score,cut,act,crisscross,homer
score,cut,card,crisscross,ace
score,writer,number,scribe,par
score,cut,event,scribe,homer
consequence,happening,person,deserts,offspring
consequence,happening,information,deserts,aftereffect
consequence,event,weather,deserts,wind
consequence,person,process,offspring,corollary
consequence,person,event,offspring,wages
consequence,person,information,offspring,aftereffect
consequence,person,happening,offspring,impact
consequence,person,weather,offspring,wind
consequence,happening,information,corollary,aftereffect
consequence,event,weather,corollary,wind
consequence,event,information,wages,aftereffect
state,feeling,pathology,moroseness,hemangioma
state,feeling,illness,moroseness,papule
state,feeling,condition,moroseness,lameness
state,feeling,change,moroseness,hypertrophy
state,feeling,condition,moroseness,certitude
state,feeling,condition,moroseness,aridity
state,feeling,condition,moroseness,anencephaly
state,feeling,condition,moroseness,neuropathy
state,feeling,disorder,moroseness,essential hypertension
state,feeling,condition,moroseness,osteosarcoma
state,feeling,disorder,moroseness,high blood pressure
shape,event,change,incision,bulge
shape,action,cut,incision,sculpt
shape,action,property,incision,triangularity
shape,event,concept,incision,model
shape,action,property,incision,squareness
shape,action,property,incision,sphericity
shape,act,object,incision,coil
shape,event,property,incision,hollowness
shape,action,property,incision,crookedness
shape,action,paper,incision,sheet
shape,event,travel,incision,plane
area,center,condition,midfield,safety
area,center,art,midfield,seascape
area,center,artifact,midfield,block
area,center,support,midfield,landscape
area,center,control,midfield,corner
area,district,center,venue,see
area,district,center,venue,midstream
area,district,support,venue,landscape
area,center,condition,see,safety
area,center,distance,see,proximity
area,center,happening,see,scene
helping,solid,drink,fillet,frappe
helping,meat,drink,fillet,syllabub
helping,solid,clothing,fillet,nightcap
helping,cut,drink,fillet,posset
helping,meat,drink,fillet,milkshake
helping,meat,drink,fillet,libation
helping,change,drink,fillet,sundowner
helping,food,drink,fillet,malted
helping,meat,drink,fillet,chaser
helping,meat,coin,fillet,medallion
helping,solid,artifact,fillet,drumstick
singer,communication,activity,baritone,coloratura
note,communication,act,scholium,attack
note,communication,state,scholium,chastise
note,communication,state,scholium,deprecate
note,communication,change,scholium,vitriol
note,communication,state,scholium,condemn
note,communication,state,scholium,savage
note,communication,state,scholium,denounce
note,communication,change,scholium,blister
note,communication,state,scholium,disparage
note,communication,state,scholium,vilify
note,communication,compound,scholium,fulminate
employee,artifact,official,sorter,timekeeper
employee,machine,administrator,sorter,registrar
employee,machine,transport,sorter,porter
employee,object,expert,sorter,gardener
employee,artifact,professional,trencher,demonstrator
employee,tool,organism,weeder,sawyer
employee,artifact,professional,weeder,demonstrator
employee,object,transport,weeder,porter
employee,object,traveler,heaver,stamper
employee,artifact,mammal,heaver,bunny
employee,administrator,act,registrar,hire
athlete,activity,traveler,goalkeeper,rusher
athlete,event,artifact,goalkeeper,pitcher
athlete,event,glass,goalkeeper,tumbler
athlete,activity,worker,goalkeeper,punter
athlete,act,worker,goalkeeper,striker
athlete,activity,traveler,goalkeeper,swimmer
athlete,adult,event,professional,wingback
athlete,adult,object,professional,pitcher
athlete,adult,act,professional,fullback
athlete,adult,act,professional,halfback
athlete,activity,drug,wingback,blocker
shelter,structure,house,igloo,home
shelter,structure,district,igloo,quarter
shelter,structure,covering,igloo,baldachin
shelter,point,artifact,home,house
shelter,point,artifact,home,dovecote
shelter,travel,artifact,home,praetorium
shelter,house,artifact,home,stable
shelter,house,structure,home,hovel
shelter,point,artifact,home,chamber
shelter,travel,artifact,home,harbor
shelter,point,covering,home,gamp
material,compound,wood,guanine,sawdust
material,compound,rock,guanine,bluestone
material,chemical,artifact,guanine,lanolin
material,chemical,paper,guanine,stationery
material,chemical,pigment,guanine,heme
material,compound,paper,guanine,onionskin
material,compound,rock,guanine,grit
material,chemical,color,guanine,verdigris
material,chemical,rock,guanine,tufa
material,chemical,wood,guanine,lignum vitae
material,compound,paper,guanine,papyrus
carriage,room,horse,cab,hackney
control,trait,change,taboo,process
control,trait,object,taboo,snaffle
control,restraint,leader,taboo,general
control,trait,criminal,taboo,racketeer
control,restraint,communication,taboo,hex
control,trait,change,taboo,hush
control,restraint,object,taboo,hamper
control,trait,device,taboo,gag
control,restraint,change,taboo,mortify
control,restraint,artifact,taboo,starboard
control,restraint,organization,taboo,command
article,object,communication,flatware,sidebar
article,object,communication,flatware,offprint
article,object,communication,flatware,personal
article,object,communication,tinware,sidebar
article,object,communication,tinware,offprint
article,object,communication,tinware,personal
article,object,communication,woodenware,sidebar
article,object,communication,woodenware,offprint
article,artifact,communication,woodenware,personal
article,object,communication,dinnerware,sidebar
article,artifact,communication,dinnerware,offprint
degree,property,state,ferocity,profoundness
degree,property,state,ferocity,ultimacy
degree,property,state,ferocity,quickening
degree,property,state,ferocity,acme
degree,property,state,ferocity,resultant
degree,property,object,ferocity,ladder
degree,state,property,profoundness,profundity
degree,state,property,profoundness,intensity
degree,state,property,profoundness,overplus
degree,state,property,profoundness,savageness
degree,state,quality,profoundness,ingenuity
musician,communication,artist,soprano,orchestrator
musician,singer,artist,soprano,bandleader
musician,singer,attendant,soprano,rocker
musician,artist,singer,virtuoso,countertenor
musician,artist,organism,virtuoso,warbler
musician,artist,singer,virtuoso,choirboy
musician,artist,singer,virtuoso,castrato
musician,artist,communication,virtuoso,contralto
musician,artist,singer,virtuoso,crooner
musician,artist,singer,virtuoso,rapper
musician,artist,worker,virtuoso,rocker
root,molecule,herb,cassava,ginseng
root,molecule,organism,cassava,senega
root,tree,herb,calamus,carrot
root,herb,shrub,parsnip,senega
apparatus,part,act,sequencer,semaphore
apparatus,ratio,person,hematocrit,reformer
apparatus,ratio,device,hematocrit,generator
apparatus,person,act,reformer,semaphore
apparatus,person,act,reformer,heliograph
force,science,substance,magnetism,lifeblood
force,science,event,magnetism,propulsion
force,science,quality,magnetism,duress
force,science,act,magnetism,push
force,science,quality,magnetism,pressure
