subject,predicate,object,source,validity
Ben Breslin,band member,Slydigs,wikidata,always true
John R.,child,J. Roderick MacArthur,wikidata,always true
1997,release year,Judwaa,wikidata,always true
exosphere,hypernym,location,wordnet/conceptnet,always true
Secrets of Chatsworth,hypernym,movie,wikidata,always true
dingo,meronym,jaw,wordnet/conceptnet,always true
Catherine,child,Peter Van Brugh Livingston,wikidata,always true
Matt,child,Tom Skerritt,wikidata,always true
2018,release year,The Feels,wikidata,always true
PulteGroup,hypernym,company,wikidata,always true
Masatoshi Ono,band member,Galneryus,wikidata,always true
Lilibet Foster,director,Be Here Now,wikidata,always true
Edmund Otis,child,Horace Carter Hovey,wikidata,always true
Tony Parker,spouse,Eva Longoria,wikidata,always true
2018,release year,Antidote,wikidata,always true
dieter,hypernym,person,wordnet/conceptnet,always true
designer,meronym,vacuole,wordnet/conceptnet,always true
stud,meronym,clapper,wordnet/conceptnet,always true
Anana Harouna,band member,Kel Assouf,wikidata,always true
Welcome Mr. President,hypernym,movie,wikidata,always true
Shana Hiatt,hypernym,person,wikidata,always true
Orlando,headquarter,Darden Restaurants,wikidata,always true
Dakota Meyer,spouse,Bristol Palin,wikidata,always true
Stephanie Wanger,child,Joan Bennett,wikidata,always true
elephant,meronym,face,wordnet/conceptnet,always true
Sarah,child,Ben Edwards,wikidata,always true
wagtail,meronym,eye,wordnet/conceptnet,always true
harvester,hypernym,individual,wordnet/conceptnet,always true
OHL,hypernym,band,wikidata,always true
spell,hypernym,quantity,wordnet/conceptnet,always true
Abercrombie & Fitch,hypernym,company,wikidata,always true
slug,meronym,cheek,wordnet/conceptnet,always true
Jennifer Baichwal,director,Long Time Running,wikidata,always true
Kenneth A. Martindale,CEO,GNC Holdings,wikidata,always true
Craig A. Menear,CEO,Home Depot,wikidata,always true
farmhouse,meronym,room,wordnet/conceptnet,always true
John Lyde,director,Riot,wikidata,always true
Cincinnati,headquarter,Fifth Third Bancorp,wikidata,always true
turkey,meronym,brow,wordnet/conceptnet,always true
Poster Boys,hypernym,movie,wikidata,always true
wheelbarrow,meronym,handle,wordnet/conceptnet,always true
Roger O. Hirson,hypernym,person,wikidata,always true
caterpillar,meronym,jaw,wordnet/conceptnet,always true
Christopher Chenery,hypernym,person,wikidata,always true
manor,meronym,keyhole,wordnet/conceptnet,always true
birthday,hypernym,period,wordnet/conceptnet,always true
Baadshaho,hypernym,movie,wikidata,always true
Anna Prior,band member,Metronomy,wikidata,always true
fowl,meronym,lip,wordnet/conceptnet,always true
mosque,meronym,pane,wordnet/conceptnet,always true
diamond,/r/IsA,carbon,conceptnet,always true
John Dahl,director,The Great Raid,wikidata,always true
Ronna Romney McDaniel,child,G. Scott Romney,wikidata,always true
cockerel,meronym,jaw,wordnet/conceptnet,always true
coach,meronym,cell,wordnet/conceptnet,always true
German Democratic Republic,hypernym,country,wikidata,always true
dinosaur,meronym,ear,wordnet/conceptnet,always true
Carl-Michael Eide,band member,Virus,wikidata,always true
governor,meronym,nucleus,wordnet/conceptnet,always true
John Longenecker,child,Ruth Hussey,wikidata,always true
palm,hypernym,tree,wordnet/conceptnet,always true
Apoorva Lakhia,director,Shootout at Lokhandwala,wikidata,always true
person,/r/Desires,have inner peace,conceptnet,always true
doggy,hypernym,mammal,wordnet/conceptnet,always true
Ben Piazza,spouse,Dolores Dorn,wikidata,always true
Denise Corales,band member,Aguaturbia,wikidata,always true
Muna Lee,spouse,Luis Muñoz Marín,wikidata,always true
Puget Energy,hypernym,company,wikidata,always true
Mark Harris,hypernym,person,wikidata,always true
hind,meronym,nucleus,wordnet/conceptnet,always true
Ferrellgas Partners,hypernym,company,wikidata,always true
magpie,meronym,tail,wordnet/conceptnet,always true
Penny Barrington,hypernym,person,wikidata,always true
Constance Bennett,hypernym,person,wikidata,always true
William Bernard Ziff Jr.,child,"William Bernard Ziff, Sr.",wikidata,always true
Tomomi Itano,band member,Queen & Elizabeth,wikidata,always true
David P. Hatfield,CEO,Edgewell Personal Care,wikidata,always true
person,/r/Desires,more rice,conceptnet,always true
radar,hypernym,instrument,wordnet/conceptnet,always true
Delta Air Lines,hypernym,company,wikidata,always true
Kunle Afolayan,director,The Figurine (Araromire),wikidata,always true
swan,meronym,eyelid,wordnet/conceptnet,always true
David Sankey,hypernym,person,wikidata,always true
Stanley Willard Bromley,spouse,Helen Jean Brown,wikidata,always true
Thorne: Scaredy Cat,hypernym,movie,wikidata,always true
Michael,child,Ed McCaskey,wikidata,always true
Olive,spouse,Link Wray,wikidata,always true
Lowell,headquarter,J.B. Hunt Transport Services,wikidata,always true
Jaid,spouse,John Drew Barrymore,wikidata,always true
Mo,child,Levi Stewart Udall,wikidata,always true
animal,meronym,skull,wordnet/conceptnet,always true
daughter,hypernym,person,wordnet/conceptnet,always true
Sandwich,hypernym,band,wikidata,always true
Glendale,headquarter,Public Storage,wikidata,always true
Benjamin Clark Cutler,hypernym,person,wikidata,always true
The Birthday Party,hypernym,band,wikidata,always true
Carl Foreman,hypernym,person,wikidata,always true
goldfish,meronym,clapper,wordnet/conceptnet,always true
hornet,hypernym,insect,wordnet/conceptnet,always true
lead,hypernym,element,wordnet/conceptnet,always true
Sound City Players,hypernym,band,wikidata,always true
Katt Williams: The Pimp Chronicles: Pt. 1,hypernym,movie,wikidata,always true
brunch,hypernym,nourishment,wordnet/conceptnet,always true
Gabriel Pascal,spouse,Valéria Hidvéghy,wikidata,always true
Glass Harp,hypernym,band,wikidata,always true
Olivier Assayas,director,Personal Shopper,wikidata,always true
pork,hypernym,meat,wordnet/conceptnet,always true
Keith Potger,band member,The Seekers,wikidata,always true
jam,hypernym,delicacy,wordnet/conceptnet,always true
The Christmas Candle,hypernym,movie,wikidata,always true
outfit,hypernym,clothing,wordnet/conceptnet,always true
ballroom,meronym,door,wordnet/conceptnet,always true
Phil X,band member,Triumph,wikidata,always true
Hurtsmile,hypernym,band,wikidata,always true
Héctor,child,Gory Guerrero,wikidata,always true
Incantation,hypernym,band,wikidata,always true
P.B.Ch.,band member,Lucie,wikidata,always true
shark,meronym,jaw,wordnet/conceptnet,always true
Ugly Casanova,hypernym,band,wikidata,always true
canteen,hypernym,flask,wordnet/conceptnet,always true
"Paul Pelosi, Jr.",child,Paul Pelosi,wikidata,always true
Silver Tree,spouse,Abe Levy,wikidata,always true
cattle,meronym,nucleus,wordnet/conceptnet,always true
cheese,hypernym,food,wordnet/conceptnet,always true
Kendall Schmidt,band member,Heffron Drive,wikidata,always true
Nick Dimitri,hypernym,person,wikidata,always true
birth,hypernym,quantity,wordnet/conceptnet,always true
Holy Man 3,hypernym,movie,wikidata,always true
grassland,/r/IsA,biome,conceptnet,always true
lichen,hypernym,illness,wordnet/conceptnet,always true
Anees Bazmee,director,No Entry,wikidata,always true
Chicago,headquarter,Tribune Media,wikidata,always true
Jeffrey Fuller,child,Crystal Eastman,wikidata,always true
saloon,meronym,keyhole,wordnet/conceptnet,always true
centimeter,meronym,millimeter,wordnet/conceptnet,always true
Karen Carlson,spouse,David Soul,wikidata,always true
Joseph Stephen Crane,spouse,Lana Turner,wikidata,always true
Jeannette Ramos,spouse,Roberto Sánchez Vilella,wikidata,always true
sardine,meronym,skull,wordnet/conceptnet,always true
Martha Gellhorn,spouse,Thomas Stanley Matthews,wikidata,always true
Superior Energy Services,hypernym,company,wikidata,always true
Lucien Jean-Baptiste,director,He Even Has Your Eyes,wikidata,always true
Jazz Boon,director,Line Walker,wikidata,always true
2008,release year,"10,000 B.C.",wikidata,always true
The Taking of Pelham 123,hypernym,movie,wikidata,always true
seaside,hypernym,coast,wordnet/conceptnet,always true
Sans Filtre,hypernym,band,wikidata,always true
Doris Fleischman,hypernym,person,wikidata,always true
owl,meronym,lip,wordnet/conceptnet,always true
E*Trade Financial,hypernym,company,wikidata,always true
Bruce Karatz,hypernym,person,wikidata,always true
marigold,meronym,organelle,wordnet/conceptnet,always true
Man Up,hypernym,movie,wikidata,always true
Crows,hypernym,band,wikidata,always true
gap,/r/IsA,opening,conceptnet,always true
Indonesia,hypernym,country,wikidata,always true
Daniel J. McCarthy,CEO,Frontier Communications,wikidata,always true
Hellogoodbye,hypernym,band,wikidata,always true
kennel,meronym,window,wordnet/conceptnet,always true
blues,hypernym,music,wordnet/conceptnet,always true
bone,/r/IsA,white,conceptnet,always true
viper,meronym,head,wordnet/conceptnet,always true
Ed Warby,band member,Hail of Bullets,wikidata,always true
Thomas J. Autzen,hypernym,person,wikidata,always true
Stuart Cable,band member,Stereophonics,wikidata,always true
Colosseum,hypernym,band,wikidata,always true
Albert W. Tucker,hypernym,person,wikidata,always true
Th' Corn Gangg,hypernym,band,wikidata,always true
Sarah Jane Carr,hypernym,person,wikidata,always true
Melanie Griffith,hypernym,person,wikidata,always true
abbey,meronym,courtyard,wordnet/conceptnet,always true
Lee Neuwirth,hypernym,person,wikidata,always true
optician,meronym,cell,wordnet/conceptnet,always true
Camping World Holdings,hypernym,company,wikidata,always true
Simona Mangiante,spouse,George Papadopoulos,wikidata,always true
Vitaut Kipel,child,I︠A︡ŭkhim Kipelʹ,wikidata,always true
Kevin Haskins,band member,Love and Rockets,wikidata,always true
person,/r/Desires,easy life,conceptnet,always true
Sade,hypernym,band,wikidata,always true
arrow,hypernym,instrument,wordnet/conceptnet,always true
When Hari Got Married,hypernym,movie,wikidata,always true
ground,/r/IsA,percept,conceptnet,always true
Shirley Goldfarb,hypernym,person,wikidata,always true
Nightcrawler,child,Mystique,wikidata,always true
possum,meronym,head,wordnet/conceptnet,always true
My Honor Was Loyalty,hypernym,movie,wikidata,always true
Bushrod,child,John Augustine Washington,wikidata,always true
invader,hypernym,person,wordnet/conceptnet,always true
Jonny Sjo,band member,D'Sound,wikidata,always true
reef,hypernym,formation,wordnet/conceptnet,always true
Marshall Neilan,hypernym,person,wikidata,always true
Jean Simmons,hypernym,person,wikidata,always true
Harold Shawn,child,Jamaica Kincaid,wikidata,always true
Xiaomi,hypernym,company,wikidata,always true
buck,meronym,lip,wordnet/conceptnet,always true
gorilla,hypernym,mammal,wordnet/conceptnet,always true
John Strauss,spouse,Charlotte Rae,wikidata,always true
Chien-Shiung Wu,hypernym,person,wikidata,always true
wallpaper,hypernym,material,wordnet/conceptnet,always true
band,/r/IsA,restraint,conceptnet,always true
Stephen D. Steinour,CEO,Huntington Bancshares,wikidata,always true
Alain Desrochers,director,Security,wikidata,always true
jellyfish,meronym,clapper,wordnet/conceptnet,always true
Psihomodo Pop,hypernym,band,wikidata,always true
Libertyville,headquarter,Brunswick,wikidata,always true
press,hypernym,machine,wordnet/conceptnet,always true
salamander,meronym,eyelid,wordnet/conceptnet,always true
donkey,meronym,nucleus,wordnet/conceptnet,always true
Teresa Barrick,spouse,Steven Tyler,wikidata,always true
George Mason III,child,George Mason II,wikidata,always true
Ruth Moody,band member,The Wailin' Jennys,wikidata,always true
Bruno and Boots: The Wizzle War,hypernym,movie,wikidata,always true
Project 86,hypernym,band,wikidata,always true
A. Philip Randolph,hypernym,person,wikidata,always true
nose,/r/CapableOf,sense smell,conceptnet,always true
crystal,/r/IsA,glassware,conceptnet,always true
Brown-Forman,hypernym,company,wikidata,always true
supper,meronym,bread,wordnet/conceptnet,always true
Kate,child,Bill Hudson,wikidata,always true
fish,meronym,eyelid,wordnet/conceptnet,always true
willow,hypernym,tree,wordnet/conceptnet,always true
sunlight,hypernym,radiation,wordnet/conceptnet,always true
Gravetemple,hypernym,band,wikidata,always true
Team Syachihoko,hypernym,band,wikidata,always true
Timothy O'Bryan ,child,Ronald Clark O'Bryan,wikidata,always true
4L,hypernym,movie,wikidata,always true
Martin Mendez,band member,Opeth,wikidata,always true
Runar Johannessen,band member,Valentourettes,wikidata,always true
zebra,meronym,eyelid,wordnet/conceptnet,always true
mackinaw,hypernym,fabric,wordnet/conceptnet,always true
flounder,meronym,vacuole,wordnet/conceptnet,always true
beet,meronym,nucleus,wordnet/conceptnet,always true
jelly,hypernym,nourishment,wordnet/conceptnet,always true
Jack C. Salzwedel,CEO,American Family Insurance Group,wikidata,always true
galena,hypernym,mineral,wordnet/conceptnet,always true
starling,meronym,clapper,wordnet/conceptnet,always true
sock,hypernym,commodity,wordnet/conceptnet,always true
pistol,hypernym,instrument,wordnet/conceptnet,always true
Kaia Wilson,band member,Team Dresch,wikidata,always true
date,meronym,midnight,wordnet/conceptnet,always true
Foundation Building Materials,hypernym,company,wikidata,always true
John Speed Smith,hypernym,person,wikidata,always true
Marcus Raboy,director,Miranda Sings Live…Your Welcome,wikidata,always true
hedgehog,hypernym,mammal,wordnet/conceptnet,always true
Northwestern Mutual,hypernym,company,wikidata,always true
Koji Nakamura,band member,Lama,wikidata,always true
Wild Child,hypernym,movie,wikidata,always true
newt,hypernym,amphibian,wordnet/conceptnet,always true
Chauthi Koot,hypernym,movie,wikidata,always true
David,child,Richard Berman,wikidata,always true
Josh Scogin,band member,The Chariot,wikidata,always true
corona,hypernym,light,wordnet/conceptnet,always true
Steve Leialoha,hypernym,person,wikidata,always true
Michael Chevalier,band member,E Nomine,wikidata,always true
Hubert Perrodo,founder,Perenco,wikidata,always true
Elaine McMillion Sheldon,director,Heroin(e),wikidata,always true
sergeant,hypernym,worker,wordnet/conceptnet,always true
tulip,hypernym,plant,wordnet/conceptnet,always true
dog,meronym,chest,wordnet/conceptnet,always true
castle,meronym,doorway,wordnet/conceptnet,always true
person,/r/Desires,dinner,conceptnet,always true
Brian,child,Harry Kelly,wikidata,always true
cathedral,hypernym,church,wordnet/conceptnet,always true
American Circumcision,hypernym,movie,wikidata,always true
badger,hypernym,mammal,wordnet/conceptnet,always true
Albert Einstein,hypernym,person,wikidata,always true
bench,hypernym,furniture,wordnet/conceptnet,always true
Catherine,child,Alexander Lyon Pollock,wikidata,always true
Preston Gibson,hypernym,person,wikidata,always true
Gregory N. Roberts,CEO,A-Mark Precious Metals,wikidata,always true
Monday Michiru,child,Toshiko Akiyoshi,wikidata,always true
2014,release year,The Gospel of John,wikidata,always true
gravy,hypernym,juice,wordnet/conceptnet,always true
Martin Glover,band member,The Fireman,wikidata,always true
Bas van Teylingen,director,De Film van Dylan Haegens,wikidata,always true
Hasta los dientes,hypernym,movie,wikidata,always true
Dayveon,hypernym,movie,wikidata,always true
Eric Clapton,band member,Blind Faith,wikidata,always true
Latif Faiziyev,director,Sohni Mahiwal,wikidata,always true
Annie,child,Estelle Reiner,wikidata,always true
Adelaide,child,Julia LaFazia Salati,wikidata,always true
Sylvia,child,Otto Plath,wikidata,always true
The Horrible Crowes,hypernym,band,wikidata,always true
Yellowbird,hypernym,movie,wikidata,always true
Amanda,child,Paul Anka,wikidata,always true
cloakroom,meronym,doorway,wordnet/conceptnet,always true
mineral,hypernym,material,wordnet/conceptnet,always true
Marvin Winans Jr,child,Marvin Winans,wikidata,always true
queen,meronym,mouth,wordnet/conceptnet,always true
mammal,meronym,brain,wordnet/conceptnet,always true
dinosaur,meronym,tail,wordnet/conceptnet,always true
Mitch Gould,director,Battle Drone,wikidata,always true
Columbus,headquarter,American Electric Power,wikidata,always true
CNO Financial Group,hypernym,company,wikidata,always true
mosquito,meronym,face,wordnet/conceptnet,always true
Kate & Leopold,hypernym,movie,wikidata,always true
restaurant,meronym,doorway,wordnet/conceptnet,always true
Rob Marshall,director,Mary Poppins Returns,wikidata,always true
Pang Ho-cheung,director,Love In A Puff,wikidata,always true
turkey,meronym,face,wordnet/conceptnet,always true
2017,release year,1922,wikidata,always true
honeymoon,hypernym,holiday,wordnet/conceptnet,always true
"Lan ""Bye""",band member,Infectious Maggots,wikidata,always true
"Alexandra Hamilton, Duchess of Abercorn",hypernym,person,wikidata,always true
Hannibal Buress: Comedy Camisado,hypernym,movie,wikidata,always true
flurry,hypernym,precipitation,wordnet/conceptnet,always true
The Best of Rafał Rutkowski Olka Szczęśniak,hypernym,movie,wikidata,always true
Theodore,child,Elizabeth Cady Stanton,wikidata,always true
Mickey Rooney,spouse,Elaine Devry,wikidata,always true
kennel,meronym,storey,wordnet/conceptnet,always true
E. Scott Santi,CEO,Illinois Tool Works,wikidata,always true
Neenah,headquarter,Plexus,wikidata,always true
hedgehog,meronym,chin,wordnet/conceptnet,always true
Ida Rauh,spouse,Max Eastman,wikidata,always true
Deuces,hypernym,movie,wikidata,always true
tulip,meronym,nucleus,wordnet/conceptnet,always true
Tailored Brands,hypernym,company,wikidata,always true
bee,meronym,eye,wordnet/conceptnet,always true
rowan,meronym,nucleus,wordnet/conceptnet,always true
Jacques Servier,founder,Laboratoires Servier,wikidata,always true
Mark G. Parker,CEO,Nike,wikidata,always true
plum,meronym,peel,wordnet/conceptnet,always true
6 Underground,hypernym,movie,wikidata,always true
amusement,hypernym,feeling,wordnet/conceptnet,always true
2000,release year,"Crouching Tiger, Hidden Dragon",wikidata,always true
elephant,meronym,brow,wordnet/conceptnet,always true
Ben Goldberg,band member,Tin Hat,wikidata,always true
Raúl Campos,director,Ricardo O'Farrill Abrazo Genial,wikidata,always true
Susan Stamberg,hypernym,person,wikidata,always true
Edna Krabappel,spouse,Ned Flanders,wikidata,always true
jelly,hypernym,delicacy,wordnet/conceptnet,always true
duke,meronym,cell,wordnet/conceptnet,always true
castle,meronym,library,wordnet/conceptnet,always true
adder,meronym,eyelid,wordnet/conceptnet,always true
carrier,meronym,nucleus,wordnet/conceptnet,always true
gardener,meronym,vacuole,wordnet/conceptnet,always true
yak,meronym,skull,wordnet/conceptnet,always true
drake,meronym,skull,wordnet/conceptnet,always true
jug,hypernym,container,wordnet/conceptnet,always true
Pauly D,child,Paula Deen,wikidata,always true
registrant,hypernym,person,wordnet/conceptnet,always true
zebra,meronym,skull,wordnet/conceptnet,always true
2019,release year,Shelby American,wikidata,always true
Bratislava,capital,Slovakia,wikidata,always true
priest,meronym,nucleus,wordnet/conceptnet,always true
whale,meronym,organelle,wordnet/conceptnet,always true
Edwin,director,Aruna & Her Palate,wikidata,always true
George Clooney,director,"Good Night, and Good Luck",wikidata,always true
Sarah Cathcart Maxtone Graham,child,John Maxtone-Graham,wikidata,always true
Tango Feroz,hypernym,movie,wikidata,always true
Scripps Networks Interactive,hypernym,company,wikidata,always true
Jan Crouch,hypernym,person,wikidata,always true
ear,hypernym,fruit,wordnet/conceptnet,always true
Alliant Energy,hypernym,company,wikidata,always true
Beata Dziaba,spouse,Michael Flatley,wikidata,always true
Taiwo Lijadu,band member,Lijadu Sisters,wikidata,always true
golf,hypernym,game,wordnet/conceptnet,always true
priest,hypernym,person,wordnet/conceptnet,always true
rabbit,meronym,brow,wordnet/conceptnet,always true
Luca Turilli's Dreamquest,hypernym,band,wikidata,always true
Louis M. Rabinowitz,hypernym,person,wikidata,always true
2015,release year,Blackway,wikidata,always true
Tractor Supply,hypernym,company,wikidata,always true
mimesis,hypernym,disease,wordnet/conceptnet,always true
linden,hypernym,tree,wordnet/conceptnet,always true
scorpion,meronym,nose,wordnet/conceptnet,always true
Paulette Goddard,hypernym,person,wikidata,always true
Reuters,hypernym,company,wikidata,always true
Comoros,hypernym,country,wikidata,always true
Nicole Sheridan,spouse,Voodoo,wikidata,always true
Lindsay Crouse,hypernym,person,wikidata,always true
James H. Roberts,CEO,Granite Construction,wikidata,always true
Peter Rushton Maverick,hypernym,person,wikidata,always true
Barbara Bach,hypernym,person,wikidata,always true
Robert Staughton Lynd,hypernym,person,wikidata,always true
Brian Petrowsky,band member,Iniquity,wikidata,always true
Dave Matthews Band,hypernym,band,wikidata,always true
"James Reston, Jr.",child,James Reston,wikidata,always true
rhino,meronym,cheek,wordnet/conceptnet,always true
centipede,meronym,snout,wordnet/conceptnet,always true
Leo,spouse,Shelly Johnson,wikidata,always true
Prakash Satam,director,Little Singham: Mahabali,wikidata,always true
introvert,hypernym,person,wordnet/conceptnet,always true
Chris Farlowe,band member,Colosseum,wikidata,always true
Raúl Campos,director,Coco y Raulito: Carrusel de ternura,wikidata,always true
William Lewis Herndon,child,Chester A. Arthur,wikidata,always true
Clementina Poto Langone,hypernym,person,wikidata,always true
El último testigo,hypernym,movie,wikidata,always true
Neilia Hunter,hypernym,person,wikidata,always true
Victoria Foyt,spouse,Henry Jaglom,wikidata,always true
2013,release year,Jal,wikidata,always true
Zeke Norton,director,Barbie in Princess Power,wikidata,always true
Sunny Chan,band member,Supper Moment,wikidata,always true
Michaele Salahi,hypernym,person,wikidata,always true
Jack Webb,spouse,Julie London,wikidata,always true
I'm Brent Morin,hypernym,movie,wikidata,always true
Raymond Scott,hypernym,person,wikidata,always true
Sean D. Keohane,CEO,Cabot,wikidata,always true
cobra,hypernym,vertebrate,wordnet/conceptnet,always true
Oscar Klein,hypernym,person,wikidata,always true
caribou,meronym,eyelid,wordnet/conceptnet,always true
joy,hypernym,emotion,wordnet/conceptnet,always true
Framingham,headquarter,TJX,wikidata,always true
drake,meronym,tail,wordnet/conceptnet,always true
Louis Philippe I,founder,French Foreign Legion,wikidata,always true
Jane Lawrence,spouse,Tony Smith,wikidata,always true
Vista Outdoor,hypernym,company,wikidata,always true
dog,/r/CapableOf,wear collar,conceptnet,always true
Judah,child,Isaac Touro,wikidata,always true
pacifist,hypernym,person,wordnet/conceptnet,always true
Revolutionary Road,hypernym,movie,wikidata,always true
rattlesnake,meronym,clapper,wordnet/conceptnet,always true
Matthew Cable,spouse,Abby Holland,wikidata,always true
pub,meronym,window,wordnet/conceptnet,always true
Anne Hill Carter Lee,hypernym,person,wikidata,always true
piglet,meronym,eye,wordnet/conceptnet,always true
Karla,spouse,Steve Jurvetson,wikidata,always true
Virginia,child,John Warner,wikidata,always true
crow,hypernym,animal,wordnet/conceptnet,always true
True Grit,hypernym,movie,wikidata,always true
Gail Gregg,spouse,"Arthur Ochs Sulzberger, Jr.",wikidata,always true
Mikhail Gorsheniov,band member,Korol i Shut,wikidata,always true
thistle,meronym,cell,wordnet/conceptnet,always true
27: Gone Too Soon,hypernym,movie,wikidata,always true
2016,release year,Mirzya,wikidata,always true
Long Beach,headquarter,Molina Healthcare,wikidata,always true
Steven Weber,spouse,Juliette Hohnen,wikidata,always true
serpent,hypernym,vertebrate,wordnet/conceptnet,always true
Benji: Off the Leash,hypernym,movie,wikidata,always true
H. Walter,child,James Watson Webb,wikidata,always true
Linda Davis,hypernym,person,wikidata,always true
Band of Horses,hypernym,band,wikidata,always true
hare,hypernym,animal,wordnet/conceptnet,always true
Jimmy Olsen,spouse,Chloe Sullivan,wikidata,always true
Amy O. Kershaw,hypernym,person,wikidata,always true
geography,hypernym,science,wordnet/conceptnet,always true
strawberry,hypernym,fruit,wordnet/conceptnet,always true
Peter R. Huntsman,CEO,Huntsman,wikidata,always true
Timken,hypernym,company,wikidata,always true
Yael Deckelbaum,band member,Habanot Nechama,wikidata,always true
James Farentino,hypernym,person,wikidata,always true
Deerfield,headquarter,Baxter International,wikidata,always true
man,/r/Antonym,female,conceptnet,always true
Dina,spouse,Art Babbitt,wikidata,always true
zing,hypernym,sound,wordnet/conceptnet,always true
George de Forest Brush,hypernym,person,wikidata,always true
Omaha,headquarter,Peter Kiewit Sons,wikidata,always true
SS Cardiacs,hypernym,band,wikidata,always true
Zatella Beatty,director,Iverson,wikidata,always true
Kendall Windham,child,Blackjack Mulligan,wikidata,always true
Peter Duchin,spouse,Brooke Hayward,wikidata,always true
2014,release year,Naan Sigappu Manithan,wikidata,always true
1978,release year,Bandie,wikidata,always true
Pablo Martin Farina,director,Countdown to Death: Pablo Escobar,wikidata,always true
Andrew,child,Janet Auchincloss Rutherfurd,wikidata,always true
gull,meronym,cell,wordnet/conceptnet,always true
Hasbro,hypernym,company,wikidata,always true
The Package,hypernym,movie,wikidata,always true
Professor Utonium,child,Buttercup,wikidata,always true
sweater,meronym,pocket,wordnet/conceptnet,always true
Massy Tadjedin,director,Last Night,wikidata,always true
rose,meronym,vacuole,wordnet/conceptnet,always true
United States Department of Defense,hypernym,company,wikidata,always true
wagtail,meronym,head,wordnet/conceptnet,always true
Nora,child,Henry Ephron,wikidata,always true
quack-quack,meronym,snout,wordnet/conceptnet,always true
sparrow,meronym,jaw,wordnet/conceptnet,always true
Frank L. Roberts,hypernym,person,wikidata,always true
The Five Venoms,hypernym,movie,wikidata,always true
Daniel Huger,spouse,Evelyn Bartlett,wikidata,always true
Gloria Loring,hypernym,person,wikidata,always true
Dabney Coleman,hypernym,person,wikidata,always true
Roy,child,Connie Mack,wikidata,always true
Blackstone Waterhouse,child,Mary Tipton,wikidata,always true
Michael Lockwood,spouse,Lisa Marie Presley,wikidata,always true
2010,release year,Act of Vengeance,wikidata,always true
Humphrey Bogart,spouse,Helen Menken,wikidata,always true
American Water Works,hypernym,company,wikidata,always true
Sanja Ilic,band member,Balkanika,wikidata,always true
Mt. Helium,hypernym,band,wikidata,always true
Michael Simon,director,Jeff Dunham: Controlled Chaos,wikidata,always true
Tonga,hypernym,country,wikidata,always true
mongoose,meronym,face,wordnet/conceptnet,always true
gecko,meronym,eyelid,wordnet/conceptnet,always true
griffin,hypernym,monster,wordnet/conceptnet,always true
sawdust,hypernym,wood,wordnet/conceptnet,always true
Les Rita Mitsouko,hypernym,band,wikidata,always true
Yvonne King,spouse,Buddy Cole,wikidata,always true
lorry,meronym,spoke,wordnet/conceptnet,always true
Niles Crane,hypernym,person,wikidata,always true
J-V Hintikka,band member,Machine Men,wikidata,always true
Anwar,hypernym,movie,wikidata,always true
ship,/r/CapableOf,near island,conceptnet,always true
Imago,hypernym,movie,wikidata,always true
Boniface VIII,founder,Sapienza University of Rome,wikidata,always true
Billy Elliot,hypernym,movie,wikidata,always true
Ouagadougou,capital,Burkina Faso,wikidata,always true
ling,hypernym,plant,wordnet/conceptnet,always true
drone,meronym,brow,wordnet/conceptnet,always true
person,/r/Desires,own house,conceptnet,always true
Lorelle Downey,child,Barbara Bennett,wikidata,always true
Q20041578,hypernym,band,wikidata,always true
Houston,headquarter,Enterprise Products Partners,wikidata,always true
New York,headquarter,Twenty-First Century Fox,wikidata,always true
rink,meronym,floor,wordnet/conceptnet,always true
starling,meronym,brow,wordnet/conceptnet,always true
Daisy Martey,band member,Morcheeba,wikidata,always true
cellulitis,hypernym,inflammation,wordnet/conceptnet,always true
Marianne Wiggins,hypernym,person,wikidata,always true
Wild Colonials,hypernym,band,wikidata,always true
Barron Nicholas,child,Kathy Hilton,wikidata,always true
Jenny Strauss Clay,hypernym,person,wikidata,always true
silverfish,meronym,nose,wordnet/conceptnet,always true
Taylor Morrison Home,hypernym,company,wikidata,always true
Hush,hypernym,movie,wikidata,always true
Lilly Tartikoff,spouse,Bruce Karatz,wikidata,always true
Timothy Go,CEO,Calumet Specialty Products,wikidata,always true
Roddy Bottum,band member,Imperial Teen,wikidata,always true
Seattle Seahawks,super bowl loser,2015,wikidata,always true
Mandy,child,Henry Grunwald,wikidata,always true
Herbert Berghof,spouse,Uta Hagen,wikidata,always true
Meir Kahane,hypernym,person,wikidata,always true
horseradish,hypernym,herb,wordnet/conceptnet,always true
Everette Stephens,hypernym,person,wikidata,always true
pendulum,hypernym,equipment,wordnet/conceptnet,always true
Oliver Winfield Killam,hypernym,person,wikidata,always true
toucan,meronym,organelle,wordnet/conceptnet,always true
jewel,hypernym,person,wordnet/conceptnet,always true
complication,hypernym,disease,wordnet/conceptnet,always true
monastery,meronym,bathroom,wordnet/conceptnet,always true
Dewa 19,hypernym,band,wikidata,always true
person,/r/Desires,reliable car,conceptnet,always true
man,hypernym,individual,wordnet/conceptnet,always true
trinket,hypernym,decoration,wordnet/conceptnet,always true
Matt Wilson,band member,The Twilight Hours,wikidata,always true
mole,meronym,nucleus,wordnet/conceptnet,always true
saxifrage,meronym,vacuole,wordnet/conceptnet,always true
Ariel Sharratt,band member,The Burning Hell,wikidata,always true
mobile,hypernym,shape,wordnet/conceptnet,always true
